FRAME,RMSD
1, 0.0004865771916229278
2, 0.9287106990814209
3, 1.4209084510803223
4, 1.4062131643295288
5, 1.883786678314209
6, 2.2756359577178955
7, 1.8550735712051392
8, 1.8264609575271606
9, 1.6953407526016235
10, 1.4179469347000122
11, 1.7408407926559448
12, 2.0443217754364014
13, 2.1728968620300293
14, 2.0379106998443604
15, 1.9866106510162354
16, 1.882741928100586
17, 1.963111400604248
18, 1.7375853061676025
19, 1.8714594841003418
20, 2.16599178314209
21, 2.22670578956604
22, 2.515058994293213
23, 2.0034570693969727
24, 2.094350814819336
25, 1.885802149772644
26, 1.7479056119918823
27, 2.3549726009368896
28, 2.0379929542541504
29, 1.9120463132858276
30, 2.0297272205352783
31, 2.5185484886169434
32, 2.0547571182250977
33, 2.362459897994995
34, 2.0219883918762207
35, 1.7116482257843018
36, 1.5968875885009766
37, 1.760518193244934
38, 2.003997325897217
39, 1.9750348329544067
40, 1.8902506828308105
41, 1.61082923412323
42, 1.6307659149169922
43, 1.7858824729919434
44, 2.0232512950897217
45, 2.3620052337646484
46, 2.557387113571167
47, 2.671562910079956
48, 2.4318759441375732
49, 2.116391658782959
50, 2.3337366580963135
51, 2.6645588874816895
52, 2.7304751873016357
53, 2.5652267932891846
54, 2.414750099182129
55, 2.7888762950897217
56, 2.7731549739837646
57, 2.6726527214050293
58, 2.8308913707733154
59, 2.8772552013397217
60, 2.520414113998413
61, 2.7628366947174072
62, 3.341831684112549
63, 3.114219903945923
64, 2.6281261444091797
65, 3.1660637855529785
66, 2.8482558727264404
67, 2.8156821727752686
68, 3.477919816970825
69, 3.628567695617676
70, 4.089591026306152
71, 3.6871564388275146
72, 3.5707623958587646
73, 3.6697490215301514
74, 3.216689348220825
75, 3.4544403553009033
76, 3.611119270324707
77, 3.437828779220581
78, 3.6444804668426514
79, 3.0486514568328857
80, 3.326035261154175
81, 3.337120771408081
82, 3.256844997406006
83, 2.9518063068389893
84, 2.794992685317993
85, 3.0121982097625732
86, 2.6972804069519043
87, 2.5142784118652344
88, 2.2516751289367676
89, 2.2583799362182617
90, 2.4388129711151123
91, 2.576188802719116
92, 2.9338319301605225
