SYSTEM, FRAME,RMSD
Complex, 1, 0.0004921002546325326
Complex, 2, 1.8284324407577515
Complex, 3, 2.0456295013427734
Complex, 4, 1.953418493270874
Complex, 5, 2.890272378921509
Complex, 6, 3.337719440460205
Complex, 7, 3.640211582183838
Complex, 8, 3.7195281982421875
Complex, 9, 4.1850104331970215
Complex, 10, 3.8792803287506104
Complex, 11, 3.8086788654327393
Complex, 12, 4.050853729248047
Complex, 13, 3.592420816421509
Complex, 14, 3.7117910385131836
Complex, 15, 4.341046333312988
Complex, 16, 3.7291061878204346
Complex, 17, 3.4352309703826904
Complex, 18, 3.138806104660034
Complex, 19, 3.4206202030181885
Complex, 20, 3.4923770427703857
Complex, 21, 3.4951415061950684
Complex, 22, 3.7270820140838623
Complex, 23, 4.000925540924072
Complex, 24, 3.9358303546905518
Complex, 25, 4.045872211456299
Complex, 26, 4.078630447387695
Complex, 27, 4.556628704071045
Complex, 28, 4.448942184448242
Complex, 29, 4.770047664642334
Complex, 30, 4.536599636077881
Complex, 31, 5.028619289398193
Complex, 32, 4.920785903930664
Complex, 33, 4.595268249511719
Complex, 34, 4.717386245727539
Complex, 35, 4.579861640930176
Complex, 36, 5.088162422180176
Complex, 37, 5.214352130889893
Complex, 38, 5.273146152496338
Complex, 39, 5.727631092071533
Complex, 40, 4.979557037353516
Complex, 41, 5.364633560180664
Complex, 42, 5.1471638679504395
Complex, 43, 5.210024833679199
Complex, 44, 5.390968322753906
Complex, 45, 5.822060585021973
Complex, 46, 5.878841400146484
Complex, 47, 5.4673261642456055
Complex, 48, 5.56808614730835
Complex, 49, 5.908030986785889
Complex, 50, 5.804349899291992
Complex, 51, 5.892343997955322
Complex, 52, 5.384101390838623
Complex, 53, 4.790008544921875
Complex, 54, 4.958585739135742
Complex, 55, 5.010289669036865
Complex, 56, 5.147244930267334
Complex, 57, 4.632255554199219
Complex, 58, 4.757941722869873
Complex, 59, 4.803929328918457
Complex, 60, 5.046298027038574
Complex, 61, 5.688564777374268
Complex, 62, 5.687480926513672
Complex, 63, 6.231889724731445
Complex, 64, 6.2038984298706055
Complex, 65, 5.702990531921387
Complex, 66, 6.149406433105469
Complex, 67, 6.029627323150635
Complex, 68, 6.496359825134277
Complex, 69, 6.146983623504639
